source,severity,cve,package
"only:grype","Low","CVE-2021-46195","libgcc"
"only:grype","Low","CVE-2021-46195","libstdc++"
"only:grype","Low","CVE-2022-27943","libgcc"
"only:grype","Low","CVE-2022-27943","libstdc++"
"only:grype","Low","CVE-2022-3219","gnupg2"
"only:grype","Low","CVE-2022-41409","pcre2"
"only:grype","Low","CVE-2022-41409","pcre2-syntax"
"only:grype","Medium","CVE-2023-30571","libarchive"
"only:grype","Low","CVE-2023-32636","glib2"
"only:grype","Low","CVE-2023-4156","gawk"
"only:grype","Low","CVE-2023-45322","libxml2"
"only:grype","Low","CVE-2023-50495","ncurses-base"
"only:grype","Low","CVE-2023-50495","ncurses-libs"
"only:grype","Low","CVE-2024-0232","sqlite-libs"
"only:grype","Low","CVE-2024-11053","curl-minimal"
"only:grype","Low","CVE-2024-11053","libcurl-minimal"
"only:grype","Low","CVE-2024-13176","openssl-libs"
"only:grype","Low","CVE-2024-41996","openssl-libs"
"only:grype","Low","CVE-2024-7264","curl-minimal"
"only:grype","Low","CVE-2024-7264","libcurl-minimal"
"only:grype","Low","CVE-2024-9681","curl-minimal"
"only:grype","Low","CVE-2024-9681","libcurl-minimal"
"only:grype","Medium","CVE-2025-13034","curl-minimal"
"only:grype","Medium","CVE-2025-13034","libcurl-minimal"
"only:grype","Medium","CVE-2025-14017","curl-minimal"
"only:grype","Medium","CVE-2025-14017","libcurl-minimal"
"only:grype","Low","CVE-2025-14524","curl-minimal"
"only:grype","Low","CVE-2025-14524","libcurl-minimal"
"only:grype","Low","CVE-2025-15079","curl-minimal"
"only:grype","Low","CVE-2025-15079","libcurl-minimal"
"only:grype","Low","CVE-2025-15224","curl-minimal"
"only:grype","Low","CVE-2025-15224","libcurl-minimal"
"only:grype","Low","CVE-2025-1632","libarchive"
"only:grype","Low","CVE-2025-27113","libxml2"
"only:grype","Low","CVE-2025-30258","gnupg2"
"only:grype","Low","CVE-2025-3360","glib2"
"only:grype","Low","CVE-2025-5915","libarchive"
"only:grype","Low","CVE-2025-5916","libarchive"
"only:grype","Low","CVE-2025-5917","libarchive"
"only:grype","Low","CVE-2025-5918","libarchive"
"only:grype","Medium","CVE-2025-60753","libarchive"
"only:grype","Medium","CVE-2025-68972","gnupg2"
"only:grype","Low","CVE-2025-7039","glib2"
"only:grype","Low","CVE-2025-70873","sqlite-libs"
"only:grype","Low","CVE-2025-9232","openssl-libs"
"only:grype","Low","CVE-2026-0988","glib2"
"only:grype","Low","CVE-2026-0989","libxml2"
"only:grype","Medium","CVE-2026-0990","libxml2"
"only:grype","Low","CVE-2026-0992","libxml2"
"only:grype","High","CVE-2026-11352","curl-minimal"
"only:grype","High","CVE-2026-11352","libcurl-minimal"
"only:grype","High","CVE-2026-11586","curl-minimal"
"only:grype","High","CVE-2026-11586","libcurl-minimal"
"only:grype","Medium","CVE-2026-11850","krb5-libs"
"only:grype","Medium","CVE-2026-11856","curl-minimal"
"only:grype","Medium","CVE-2026-11856","libcurl-minimal"
"only:grype","Medium","CVE-2026-11979","libxml2"
"only:grype","Medium","CVE-2026-13595","libblkid"
"only:grype","Medium","CVE-2026-13595","libmount"
"only:grype","Medium","CVE-2026-13595","libsmartcols"
"only:grype","Medium","CVE-2026-13595","libuuid"
"only:grype","Medium","CVE-2026-13757","p11-kit"
"only:grype","Medium","CVE-2026-13757","p11-kit-trust"
"only:grype","Medium","CVE-2026-14164","libarchive"
"only:grype","Medium","CVE-2026-1484","glib2"
"only:grype","Low","CVE-2026-1485","glib2"
"only:grype","Medium","CVE-2026-1489","glib2"
"only:grype","Low","CVE-2026-15028","libarchive"
"only:grype","Medium","CVE-2026-15588","glib2"
"only:grype","Medium","CVE-2026-16118","glib2"
"only:grype","Low","CVE-2026-16517","libarchive"
"only:grype","Medium","CVE-2026-1757","libxml2"
"only:grype","Medium","CVE-2026-1965","curl-minimal"
"only:grype","Medium","CVE-2026-1965","libcurl-minimal"
"only:grype","Medium","CVE-2026-22185","openldap"
"only:grype","Low","CVE-2026-24883","gnupg2"
"only:grype","Medium","CVE-2026-2673","openssl-fips-provider"
"only:grype","Medium","CVE-2026-2673","openssl-fips-provider-so"
"only:grype","Medium","CVE-2026-2673","openssl-libs"
"only:grype","Low","CVE-2026-27171","zlib"
