source,severity,cve,package
"both","Medium","GHSA-mfg7-5gfp-c4w3","netty-codec-dns"
"both","High","GHSA-r7wm-3cxj-wff9","jackson-core"
"only:grype","Medium","CVE-2005-2541","tar"
"only:grype","Low","CVE-2017-6519","avahi-libs"
"only:grype","Low","CVE-2020-12413","nspr"
"only:grype","Low","CVE-2020-12413","nss"
"only:grype","Low","CVE-2020-12413","nss-softokn"
"only:grype","Low","CVE-2020-12413","nss-softokn-freebl"
"only:grype","Low","CVE-2020-12413","nss-sysinit"
"only:grype","Low","CVE-2020-12413","nss-util"
"only:grype","Low","CVE-2021-25317","cups-libs"
"only:grype","Low","CVE-2021-3572","python3-pip-wheel"
"only:grype","Low","CVE-2021-46195","libgcc"
"only:grype","Low","CVE-2021-46195","libstdc++"
"only:grype","Low","CVE-2022-27943","libgcc"
"only:grype","Low","CVE-2022-27943","libstdc++"
"only:grype","Low","CVE-2022-3219","gnupg2"
"only:grype","Low","CVE-2022-41409","pcre2"
"only:grype","Low","CVE-2022-41409","pcre2-syntax"
"only:grype","Medium","CVE-2023-30571","libarchive"
"only:grype","Low","CVE-2023-32636","glib2"
"only:grype","Low","CVE-2023-39804","tar"
"only:grype","Low","CVE-2023-4156","gawk"
"only:grype","Medium","CVE-2023-4504","cups-libs"
"only:grype","Low","CVE-2023-45322","libxml2"
"only:grype","Medium","CVE-2023-45803","python3-pip-wheel"
"only:grype","Low","CVE-2023-50495","ncurses-base"
"only:grype","Low","CVE-2023-50495","ncurses-libs"
"only:grype","Low","CVE-2024-0232","sqlite-libs"
"only:grype","Low","CVE-2024-11053","curl-minimal"
"only:grype","Low","CVE-2024-11053","libcurl-minimal"
"only:grype","Low","CVE-2024-13176","openssl-libs"
"only:grype","Low","CVE-2024-41996","openssl-libs"
"only:grype","Low","CVE-2024-7264","curl-minimal"
"only:grype","Low","CVE-2024-7264","libcurl-minimal"
"only:grype","Low","CVE-2024-7531","nspr"
"only:grype","Low","CVE-2024-7531","nss"
"only:grype","Low","CVE-2024-7531","nss-softokn"
"only:grype","Low","CVE-2024-7531","nss-softokn-freebl"
"only:grype","Low","CVE-2024-7531","nss-sysinit"
"only:grype","Low","CVE-2024-7531","nss-util"
"only:grype","Low","CVE-2024-9681","curl-minimal"
"only:grype","Low","CVE-2024-9681","libcurl-minimal"
"only:grype","Medium","CVE-2025-11468","python3"
"only:grype","Medium","CVE-2025-11468","python3-libs"
"only:grype","Medium","CVE-2025-12781","python3"
"only:grype","Medium","CVE-2025-12781","python3-libs"
"only:grype","Medium","CVE-2025-13034","curl-minimal"
"only:grype","Medium","CVE-2025-13034","libcurl-minimal"
"only:grype","Low","CVE-2025-13462","python3"
"only:grype","Low","CVE-2025-13462","python3-libs"
"only:grype","Medium","CVE-2025-13837","python3"
"only:grype","Medium","CVE-2025-13837","python3-libs"
"only:grype","Medium","CVE-2025-14017","curl-minimal"
"only:grype","Medium","CVE-2025-14017","libcurl-minimal"
"only:grype","Low","CVE-2025-14524","curl-minimal"
"only:grype","Low","CVE-2025-14524","libcurl-minimal"
"only:grype","Low","CVE-2025-15079","curl-minimal"
"only:grype","Low","CVE-2025-15079","libcurl-minimal"
"only:grype","Low","CVE-2025-15224","curl-minimal"
"only:grype","Low","CVE-2025-15224","libcurl-minimal"
"only:grype","Medium","CVE-2025-15282","python3"
"only:grype","Medium","CVE-2025-15282","python3-libs"
"only:grype","Low","CVE-2025-1632","libarchive"
"only:grype","Low","CVE-2025-1795","python3"
"only:grype","Low","CVE-2025-1795","python3-libs"
"only:grype","Medium","CVE-2025-24294","cups-libs"
"only:grype","Low","CVE-2025-27113","libxml2"
"only:grype","Medium","CVE-2025-28164","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2025-28164","java-25-openjdk-headless"
"only:grype","Low","CVE-2025-30258","gnupg2"
"only:grype","Low","CVE-2025-3360","glib2"
"only:grype","Medium","CVE-2025-4516","python3"
"only:grype","Medium","CVE-2025-4516","python3-libs"
"only:grype","Medium","CVE-2025-50181","python3-pip-wheel"
"only:grype","Medium","CVE-2025-50182","python3-pip-wheel"
"only:grype","Low","CVE-2025-5915","libarchive"
"only:grype","Low","CVE-2025-5916","libarchive"
"only:grype","Low","CVE-2025-5917","libarchive"
"only:grype","Low","CVE-2025-5918","libarchive"
"only:grype","Medium","CVE-2025-59529","avahi-libs"
"only:grype","Medium","CVE-2025-60753","libarchive"
"only:grype","Medium","CVE-2025-64118","tar"
"only:grype","Low","CVE-2025-66382","expat"
"only:grype","High","CVE-2025-66418","cups-libs"
"only:grype","High","CVE-2025-66471","cups-libs"
"only:grype","Medium","CVE-2025-68276","avahi-libs"
"only:grype","Medium","CVE-2025-68468","avahi-libs"
"only:grype","Medium","CVE-2025-68471","avahi-libs"
"only:grype","Medium","CVE-2025-68972","gnupg2"
"only:grype","Low","CVE-2025-7039","glib2"
"only:grype","Low","CVE-2025-70873","sqlite-libs"
"only:grype","Low","CVE-2025-9232","openssl-libs"
"only:grype","Medium","CVE-2026-0672","python3"
"only:grype","Medium","CVE-2026-0672","python3-libs"
"only:grype","Low","CVE-2026-0988","glib2"
"only:grype","Low","CVE-2026-0989","libxml2"
"only:grype","Medium","CVE-2026-0990","libxml2"
"only:grype","Low","CVE-2026-0992","libxml2"
"only:grype","High","CVE-2026-11352","curl-minimal"
"only:grype","High","CVE-2026-11352","libcurl-minimal"
"only:grype","High","CVE-2026-11586","curl-minimal"
"only:grype","High","CVE-2026-11586","libcurl-minimal"
"only:grype","Medium","CVE-2026-11850","krb5-libs"
"only:grype","Medium","CVE-2026-11856","curl-minimal"
"only:grype","Medium","CVE-2026-11856","libcurl-minimal"
"only:grype","Medium","CVE-2026-11972","python3"
"only:grype","Medium","CVE-2026-11972","python3-libs"
"only:grype","Medium","CVE-2026-11979","libxml2"
"only:grype","Medium","CVE-2026-13595","libblkid"
"only:grype","Medium","CVE-2026-13595","libmount"
"only:grype","Medium","CVE-2026-13595","libsmartcols"
"only:grype","Medium","CVE-2026-13595","libuuid"
"only:grype","Medium","CVE-2026-13757","p11-kit"
"only:grype","Medium","CVE-2026-13757","p11-kit-trust"
"only:grype","Medium","CVE-2026-14164","libarchive"
"only:grype","Medium","CVE-2026-1484","glib2"
"only:grype","Low","CVE-2026-1485","glib2"
"only:grype","Medium","CVE-2026-1489","glib2"
"only:grype","Medium","CVE-2026-1502","python3"
"only:grype","Medium","CVE-2026-1502","python3-libs"
"only:grype","Low","CVE-2026-15028","libarchive"
"only:grype","Medium","CVE-2026-15588","glib2"
"only:grype","Medium","CVE-2026-16118","glib2"
"only:grype","Low","CVE-2026-16517","libarchive"
"only:grype","Medium","CVE-2026-1757","libxml2"
"only:grype","Medium","CVE-2026-1965","curl-minimal"
"only:grype","Medium","CVE-2026-1965","libcurl-minimal"
"only:grype","High","CVE-2026-21441","cups-libs"
"only:grype","Medium","CVE-2026-22185","openldap"
"only:grype","Medium","CVE-2026-22693","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-22693","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-22695","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-22695","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-22801","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-22801","java-25-openjdk-headless"
"only:grype","Low","CVE-2026-2297","python3"
"only:grype","Low","CVE-2026-2297","python3-libs"
"only:grype","Medium","CVE-2026-24401","avahi-libs"
"only:grype","Low","CVE-2026-24515","expat"
"only:grype","Low","CVE-2026-24883","gnupg2"
"only:grype","Medium","CVE-2026-25068","alsa-lib"
"only:grype","Medium","CVE-2026-25645","python3-pip-wheel"
"only:grype","Medium","CVE-2026-2673","openssl-fips-provider"
"only:grype","Medium","CVE-2026-2673","openssl-fips-provider-so"
"only:grype","Medium","CVE-2026-2673","openssl-libs"
"only:grype","Low","CVE-2026-27171","java-25-openjdk-crypto-adapter"
"only:grype","Low","CVE-2026-27171","java-25-openjdk-headless"
"only:grype","Low","CVE-2026-27171","zlib"
"only:grype","Medium","CVE-2026-27447","cups-libs"
"only:grype","Medium","CVE-2026-27456","libblkid"
"only:grype","Medium","CVE-2026-27456","libmount"
"only:grype","Medium","CVE-2026-27456","libsmartcols"
"only:grype","Medium","CVE-2026-27456","libuuid"
"only:grype","Low","CVE-2026-28388","openssl-libs"
"only:grype","Low","CVE-2026-28389","openssl-libs"
"only:grype","Low","CVE-2026-31789","openssl-libs"
"only:grype","Medium","CVE-2026-32284","python3-pip-wheel"
"only:grype","Medium","CVE-2026-3276","python3"
"only:grype","Medium","CVE-2026-3276","python3-libs"
"only:grype","Medium","CVE-2026-32776","expat"
"only:grype","Medium","CVE-2026-32777","expat"
"only:grype","Medium","CVE-2026-32778","expat"
"only:grype","Medium","CVE-2026-33056","tar"
"only:grype","Medium","CVE-2026-34743","xz-libs"
"only:grype","Medium","CVE-2026-34757","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-34757","java-25-openjdk-headless"
"only:grype","Low","CVE-2026-3479","python3"
"only:grype","Low","CVE-2026-3479","python3-libs"
"only:grype","Medium","CVE-2026-34933","avahi-libs"
"only:grype","Medium","CVE-2026-34978","cups-libs"
"only:grype","Medium","CVE-2026-34979","cups-libs"
"only:grype","Medium","CVE-2026-34990","cups-libs"
"only:grype","Medium","CVE-2026-3644","python3"
"only:grype","Medium","CVE-2026-3644","python3-libs"
"only:grype","Medium","CVE-2026-3783","curl-minimal"
"only:grype","Medium","CVE-2026-3783","libcurl-minimal"
"only:grype","Medium","CVE-2026-3784","curl-minimal"
"only:grype","Medium","CVE-2026-3784","libcurl-minimal"
"only:grype","Medium","CVE-2026-39314","cups-libs"
"only:grype","Medium","CVE-2026-39316","cups-libs"
"only:grype","Medium","CVE-2026-4105","systemd-libs"
"only:grype","Low","CVE-2026-41079","cups-libs"
"only:grype","Low","CVE-2026-41080","expat"
"only:grype","Medium","CVE-2026-41254","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-41254","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-41989","libgcrypt"
"only:grype","Low","CVE-2026-41990","libgcrypt"
"only:grype","Medium","CVE-2026-4224","python3"
"only:grype","Medium","CVE-2026-4224","python3-libs"
"only:grype","Medium","CVE-2026-42250","bzip2-libs"
"only:grype","Medium","CVE-2026-42308","python3"
"only:grype","Medium","CVE-2026-42308","python3-libs"
"only:grype","Medium","CVE-2026-4360","python3"
"only:grype","Medium","CVE-2026-4360","python3-libs"
"only:grype","Medium","CVE-2026-4426","libarchive"
"only:grype","Medium","CVE-2026-45409","python3-pip-wheel"
"only:grype","Medium","CVE-2026-46917","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-46917","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-46968","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-46968","java-25-openjdk-headless"
"only:grype","Low","CVE-2026-47010","java-25-openjdk-crypto-adapter"
"only:grype","Low","CVE-2026-47010","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-47021","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-47021","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-47027","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-47027","java-25-openjdk-headless"
"only:grype","Low","CVE-2026-47059","java-25-openjdk-crypto-adapter"
"only:grype","Low","CVE-2026-47059","java-25-openjdk-headless"
"only:grype","High","CVE-2026-47063","java-25-openjdk-crypto-adapter"
"only:grype","High","CVE-2026-47063","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-4873","curl-minimal"
"only:grype","Medium","CVE-2026-4873","libcurl-minimal"
"only:grype","Medium","CVE-2026-50219","expat"
"only:grype","High","CVE-2026-51296","sqlite-libs"
"only:grype","High","CVE-2026-51297","sqlite-libs"
"only:grype","Medium","CVE-2026-51298","sqlite-libs"
"only:grype","Critical","CVE-2026-51302","sqlite-libs"
"only:grype","High","CVE-2026-51303","sqlite-libs"
"only:grype","High","CVE-2026-51304","sqlite-libs"
"only:grype","Medium","CVE-2026-53655","tar"
"only:grype","Medium","CVE-2026-54371","libattr"
"only:grype","Medium","CVE-2026-5545","curl-minimal"
"only:grype","Medium","CVE-2026-5545","libcurl-minimal"
"only:grype","Medium","CVE-2026-56132","expat"
"only:grype","Medium","CVE-2026-56391","coreutils-single"
"only:grype","Medium","CVE-2026-56392","coreutils-single"
"only:grype","Medium","CVE-2026-56405","expat"
"only:grype","Medium","CVE-2026-56406","expat"
"only:grype","Medium","CVE-2026-56412","expat"
"only:grype","Medium","CVE-2026-5704","tar"
"only:grype","Low","CVE-2026-57062","gnupg2"
"only:grype","Medium","CVE-2026-5713","python3"
"only:grype","Medium","CVE-2026-5713","python3-libs"
"only:grype","Medium","CVE-2026-5745","libarchive"
"only:grype","Medium","CVE-2026-5773","curl-minimal"
"only:grype","Medium","CVE-2026-5773","libcurl-minimal"
"only:grype","Medium","CVE-2026-58010","glib2"
"only:grype","Medium","CVE-2026-58011","glib2"
"only:grype","Medium","CVE-2026-58012","glib2"
"only:grype","Medium","CVE-2026-58013","glib2"
"only:grype","Medium","CVE-2026-58014","glib2"
"only:grype","Medium","CVE-2026-58015","glib2"
"only:grype","Medium","CVE-2026-58055","libnghttp2"
"only:grype","Medium","CVE-2026-5958","sed"
"only:grype","Medium","CVE-2026-59871","tar"
"only:grype","Medium","CVE-2026-59875","tar"
"only:grype","Medium","CVE-2026-60147","java-25-openjdk-crypto-adapter"
"only:grype","Medium","CVE-2026-60147","java-25-openjdk-headless"
"only:grype","Medium","CVE-2026-6019","python3"
"only:grype","Medium","CVE-2026-6019","python3-libs"
"only:grype","Medium","CVE-2026-6253","curl-minimal"
"only:grype","Medium","CVE-2026-6253","libcurl-minimal"
"only:grype","Low","CVE-2026-6276","curl-minimal"
"only:grype","Low","CVE-2026-6276","libcurl-minimal"
"only:grype","Medium","CVE-2026-6429","curl-minimal"
"only:grype","Medium","CVE-2026-6429","libcurl-minimal"
"only:grype","Medium","CVE-2026-6653","libxml2"
"only:grype","Medium","CVE-2026-6732","libxml2"
"only:grype","Medium","CVE-2026-7168","curl-minimal"
"only:grype","Medium","CVE-2026-7168","libcurl-minimal"
"only:grype","Medium","CVE-2026-7210","python3"
"only:grype","Medium","CVE-2026-7210","python3-libs"
"only:grype","High","CVE-2026-8286","curl-minimal"
"only:grype","High","CVE-2026-8286","libcurl-minimal"
"only:grype","Medium","CVE-2026-8924","curl-minimal"
"only:grype","Medium","CVE-2026-8924","libcurl-minimal"
"only:grype","High","CVE-2026-8925","curl-minimal"
"only:grype","High","CVE-2026-8925","libcurl-minimal"
"only:grype","Medium","CVE-2026-8926","curl-minimal"
"only:grype","Medium","CVE-2026-8926","libcurl-minimal"
"only:grype","Medium","CVE-2026-9149","libsolv"
"only:grype","Medium","CVE-2026-9150","libsolv"
"only:grype","High","CVE-2026-9547","curl-minimal"
"only:grype","High","CVE-2026-9547","libcurl-minimal"
"only:grype","Medium","GHSA-4mp9-239f-g9hg","netty-codec-http"
"only:grype","High","GHSA-558v-64gr-wgg4","netty-codec"
"only:grype","Medium","GHSA-5gvw-p9qm-jgwh","jackson-databind"
"only:grype","Medium","GHSA-5jmj-h7xm-6q6v","jackson-databind"
"only:grype","Medium","GHSA-6cqp-g7gg-8hr5","netty-codec-http"
"only:grype","High","GHSA-6jqx-86gh-f27w","netty-codec-http"
"only:grype","Medium","GHSA-c69g-56f8-xwqj","netty-codec-http2"
"only:grype","Medium","GHSA-gcjf-9mgh-3p7g","netty-codec-http"
"only:grype","High","GHSA-jppx-w49h-x2qq","netty-codec-http"
"only:grype","High","GHSA-mvh2-crg5-v77c","netty-codec-http"
